"id","commodity__sid","commodity__code","commodity__suffix","commodity__description","commodity__validity_start","commodity__validity_end","parent__sid","parent__code","parent__suffix"
8499,36132,"2845000000","80","Isotopes other than those of heading 2844; compounds, inorganic or organic, of such isotopes, whether or not chemically defined","1972-01-01","#NA",36095,"2843000000","10"
8500,36133,"2845100000","80","Heavy water (deuterium oxide)","1972-01-01","#NA",36132,"2845000000","80"
8501,106977,"2845200000","80","Boron enriched in boron-10 and its compounds","2022-01-01","#NA",36132,"2845000000","80"
8502,106978,"2845300000","80","Lithium enriched in lithium-6 and its compounds","2022-01-01","#NA",36132,"2845000000","80"
8503,106979,"2845400000","80","Helium-3","2022-01-01","#NA",36132,"2845000000","80"
8504,36134,"2845900000","80","Other","1972-01-01","#NA",36132,"2845000000","80"
8505,36135,"2845901000","80","Deuterium and compounds thereof; hydrogen and compounds thereof, enriched in deuterium; mixtures and solutions containing these products","1972-01-01","#NA",36134,"2845900000","80"
8506,108010,"2845901010","80","4-(Tert-Butyl)-2-(2-(methyl-d3)propan-2-yl-1,1,1,3,3,3-d6)phenol (CAS RN 2342594-40-3) with a purity by weight of 98 % or more","2022-07-01","#NA",36135,"2845901000","80"
8507,108009,"2845901090","80","Other","2022-07-01","#NA",36135,"2845901000","80"
8508,36136,"2845909000","80","Other","1972-01-01","#NA",36134,"2845900000","80"
8509,88349,"2845909020","80","Water enriched at a level of 95 % or more by weight with oxygen-18 (CAS RN 14314-42-2)","2007-07-01","#NA",36136,"2845909000","80"
8510,88351,"2845909030","80","(13|C) Carbon monoxide|(CAS RN 1641-69-6)","2007-07-01","#NA",36136,"2845909000","80"
8511,108447,"2845909050","80","Ytterbium oxide (CAS RN 1380743-42-9), with a purity by weight of 99 % or more, enriched to 99,0 % or more but not more than 99,8 % of Ytterbium-176","2023-01-01","#NA",36136,"2845909000","80"
8512,88348,"2845909090","80","Other","2007-07-01","#NA",36136,"2845909000","80"
8513,36137,"2846000000","80","Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures of these metals","1972-01-01","#NA",36095,"2843000000","10"
8514,36138,"2846100000","80","Cerium compounds","1972-01-01","#NA",36137,"2846000000","80"
8515,67104,"2846100010","80","Rare-earth concentrate containing by weight 60 % or more but not more than 95 % of rare-earth oxides and not more than 1 % each of zirconium oxide, aluminium oxide or iron oxide, and having a loss on ignition of 5 % or more by weight","1997-07-01","#NA",36138,"2846100000","80"
8516,76215,"2846100020","80","Dicerium tricarbonate, whether or not hydrated (CAS RN 537-01-9)","2003-01-01","#NA",36138,"2846100000","80"
8517,76216,"2846100030","80","Cerium lanthanum carbonate, whether or not hydrated","2003-01-01","#NA",36138,"2846100000","80"
8518,67098,"2846100090","80","Other","1997-07-01","#NA",36138,"2846100000","80"
8519,36141,"2846900000","80","Other","1972-01-01","#NA",36137,"2846000000","80"
8520,99469,"2846903000","80","Scandium compounds","2016-01-01","#NA",36141,"2846900000","80"
8521,108520,"2846904000","80","Lanthanum compounds","2023-01-01","#NA",36141,"2846900000","80"
8522,108521,"2846905000","80","Compounds of praseodymium, neodymium or samarium","2023-01-01","#NA",36141,"2846900000","80"
8523,108524,"2846905030","80","Praseodymium compounds","2023-01-01","#NA",108521,"2846905000","80"
8524,108525,"2846905040","80","Neodymium compounds","2023-01-01","#NA",108521,"2846905000","80"
8525,108526,"2846905050","80","Samarium compounds","2023-01-01","#NA",108521,"2846905000","80"
8526,108522,"2846906000","80","Compounds of gadolinium, terbium or dysprosium","2023-01-01","#NA",36141,"2846900000","80"
8527,108527,"2846906015","80","Gadolinium compounds","2023-01-01","#NA",108522,"2846906000","80"
8528,108528,"2846906020","80","Terbium compounds","2023-01-01","#NA",108522,"2846906000","80"
8529,108529,"2846906025","80","Dysprosium compounds","2023-01-01","#NA",108522,"2846906000","80"
